pos_id,ivu_id,record_dto,position_latitude,position_longitude,record_number,record_cluster
12468,DAVID1,20/04/2024 3:07:00,37.59689,144.79907,2149674891,20/04/2024
12469,DAVID1,20/04/2024 3:07:30,37.5946,144.79843,2149674892,20/04/2024
12470,DAVID1,20/04/2024 3:08:00,37.59232,144.797,2149674893,20/04/2024
12471,DAVID1,20/04/2024 3:08:30,37.59031,144.79565,2149674894,20/04/2024
12472,DAVID1,20/04/2024 3:09:00,37.58894,144.79401,2149674895,20/04/2024
12473,DAVID1,20/04/2024 3:09:30,37.58676,144.79382,2149674896,20/04/2024
12474,DAVID1,20/04/2024 3:10:00,37.58509,144.79393,2149674897,20/04/2024
12475,DAVID1,20/04/2024 3:10:30,37.58279,144.79346,2149674898,20/04/2024
12476,DAVID1,20/04/2024 3:11:00,37.58038,144.79416,2149674899,20/04/2024
12477,DAVID1,20/04/2024 3:11:30,37.57866,144.79506,2149674900,20/04/2024
12478,DAVID1,20/04/2024 3:12:00,37.57694,144.79553,2149674901,20/04/2024
12479,DAVID1,20/04/2024 3:12:30,37.57527,144.79584,2149674902,20/04/2024
12480,DAVID1,20/04/2024 3:13:00,37.57362,144.79489,2149674903,20/04/2024
12481,DAVID1,20/04/2024 3:13:30,37.57285,144.79187,2149674904,20/04/2024
12482,DAVID1,20/04/2024 3:20:30,37.57291,144.79242,2149674905,20/04/2024
12483,DAVID1,20/04/2024 3:21:00,37.57357,144.79486,2149674906,20/04/2024
12484,DAVID1,20/04/2024 3:21:30,37.57535,144.79588,2149674907,20/04/2024
12485,DAVID1,20/04/2024 3:22:00,37.57808,144.79532,2149674908,20/04/2024
12486,DAVID1,20/04/2024 3:22:30,37.58076,144.79405,2149674909,20/04/2024
12487,DAVID1,20/04/2024 3:23:00,37.58351,144.79358,2149674910,20/04/2024
12488,DAVID1,20/04/2024 3:23:30,37.5858,144.7941,2149674911,20/04/2024
12489,DAVID1,20/04/2024 3:24:00,37.58902,144.79414,2149674912,20/04/2024
12490,DAVID1,20/04/2024 3:24:30,37.59072,144.79605,2149674913,20/04/2024
12491,DAVID1,20/04/2024 3:25:00,37.59295,144.79746,2149674914,20/04/2024
12492,DAVID1,20/04/2024 3:25:30,37.59493,144.79871,2149674915,20/04/2024
12493,DAVID1,20/04/2024 3:26:00,37.59695,144.79913,2149674916,20/04/2024
12494,DAVID1,20/04/2024 3:26:30,37.59919,144.79877,2149674917,20/04/2024
12495,DAVID1,20/04/2024 3:27:00,37.60162,144.79953,2149674918,20/04/2024
12496,DAVID1,20/04/2024 3:27:30,37.60379,144.80328,2149674919,20/04/2024
12497,DAVID1,20/04/2024 3:28:00,37.60494,144.80727,2149674920,20/04/2024
12498,DAVID1,20/04/2024 3:28:30,37.60764,144.80508,2149674921,20/04/2024
12499,DAVID1,20/04/2024 3:29:00,37.60912,144.80267,2149674922,20/04/2024
12500,DAVID1,20/04/2024 3:29:30,37.61069,144.80241,2149674923,20/04/2024
12501,DAVID1,20/04/2024 3:30:00,37.6128,144.80377,2149674924,20/04/2024
12502,DAVID1,20/04/2024 3:30:30,37.61381,144.80551,2149674925,20/04/2024
12503,DAVID1,20/04/2024 3:31:00,37.61412,144.80754,2149674926,20/04/2024
12504,DAVID1,20/04/2024 3:31:30,37.61413,144.80846,2149674927,20/04/2024
12505,DAVID1,20/04/2024 3:32:00,37.61402,144.8094,2149674928,20/04/2024
12506,DAVID1,20/04/2024 3:32:30,37.61316,144.8107,2149674929,20/04/2024
12507,DAVID1,20/04/2024 3:33:00,37.61318,144.81126,2149674930,20/04/2024
12508,DAVID1,20/04/2024 3:33:30,37.61354,144.80994,2149674931,20/04/2024
12509,DAVID1,20/04/2024 3:34:00,37.61314,144.81142,2149674932,20/04/2024
12510,DAVID1,20/04/2024 3:34:30,37.61322,144.81039,2149674933,20/04/2024
12511,DAVID1,20/04/2024 3:35:00,37.61349,144.8121,2149674934,20/04/2024
12512,DAVID1,20/04/2024 3:35:30,37.61416,144.8127,2149674935,20/04/2024
12513,DAVID1,20/04/2024 3:40:30,37.61477,144.81337,2149674936,20/04/2024
12514,DAVID1,20/04/2024 3:41:00,37.61375,144.81229,2149674937,20/04/2024
12515,DAVID1,20/04/2024 3:41:30,37.61418,144.80901,2149674938,20/04/2024
12516,DAVID1,20/04/2024 3:42:00,37.61328,144.80399,2149674939,20/04/2024
12517,DAVID1,20/04/2024 3:42:30,37.61035,144.80212,2149674940,20/04/2024
12518,DAVID1,20/04/2024 3:43:00,37.6091,144.80342,2149674941,20/04/2024
12519,DAVID1,20/04/2024 3:43:30,37.60781,144.80486,2149674942,20/04/2024
12520,DAVID1,20/04/2024 3:44:00,37.60608,144.80624,2149674943,20/04/2024
12521,DAVID1,20/04/2024 3:44:30,37.60452,144.80721,2149674944,20/04/2024
12522,DAVID1,20/04/2024 3:45:00,37.60437,144.80589,2149674945,20/04/2024
12523,DAVID1,20/04/2024 3:45:30,37.60473,144.8045,2149674946,20/04/2024
12524,DAVID1,20/04/2024 3:46:00,37.60446,144.80386,2149674947,20/04/2024
12525,DAVID1,20/04/2024 3:46:30,37.6037,144.80312,2149674948,20/04/2024
12526,DAVID1,20/04/2024 3:47:00,37.60308,144.80145,2149674949,20/04/2024
12527,DAVID1,20/04/2024 3:47:30,37.60364,144.80312,2149674950,20/04/2024
12528,DAVID1,20/04/2024 3:48:00,37.60345,144.80252,2149674951,20/04/2024
12529,DAVID1,20/04/2024 3:48:30,37.60299,144.80125,2149674952,20/04/2024
12530,DAVID1,20/04/2024 3:49:00,37.60218,144.80014,2149674953,20/04/2024
12531,DAVID1,20/04/2024 3:49:30,37.60088,144.79875,2149674954,20/04/2024
